PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Passengerid,sibsp,zero,zero.1,zero.2,zero.3,zero.4,zero.5,zero.6,zero.7,zero.8,zero.9,zero.10,zero.11,zero.12,zero.13,zero.14,zero.15,zero.16,zero.17,zero.18,2urvived
908,0,2,"Keane, Mr. Daniel",male,35,0,0,233734,12.35,,Q,,,,,,,,,,,,,,,,,,,,,,
909,0,3,"Assaf, Mr. Gerios",male,21,0,0,2692,7.225,,C,,,,,,,,,,,,,,,,,,,,,,
910,1,3,"Ilmakangas, Miss. Ida Livija",female,27,1,0,STON/O2. 3101270,7.925,,S,,,,,,,,,,,,,,,,,,,,,,
911,1,3,"Assaf Khalil, Mrs. Mariana (Miriam"")""",female,45,0,0,2696,7.225,,C,,,,,,,,,,,,,,,,,,,,,,
912,0,1,"Rothschild, Mr. Martin",male,55,1,0,PC 17603,59.4,,C,,,,,,,,,,,,,,,,,,,,,,
913,0,3,"Olsen, Master. Artur Karl",male,9,0,1,C 17368,3.1708,,S,,,,,,,,,,,,,,,,,,,,,,
914,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,,0,0,PC 17598,31.6833,,S,,,,,,,,,,,,,,,,,,,,,,
915,0,1,"Williams, Mr. Richard Norris II",male,21,0,1,PC 17597,61.3792,,C,,,,,,,,,,,,,,,,,,,,,,
916,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48,1,3,PC 17608,262.375,B57 B59 B63 B66,C,,,,,,,,,,,,,,,,,,,,,,
917,0,3,"Robins, Mr. Alexander A",male,50,1,0,A/5. 3337,14.5,,S,,,,,,,,,,,,,,,,,,,,,,
918,1,1,"Ostby, Miss. Helene Ragnhild",female,22,0,1,113509,61.9792,B36,C,,,,,,,,,,,,,,,,,,,,,,
919,0,3,"Daher, Mr. Shedid",male,22.5,0,0,2698,7.225,,C,,,,,,,,,,,,,,,,,,,,,,
920,0,1,"Brady, Mr. John Bertram",male,41,0,0,113054,30.5,A21,S,,,,,,,,,,,,,,,,,,,,,,
921,0,3,"Samaan, Mr. Elias",male,,2,0,2662,21.6792,,C,,,,,,,,,,,,,,,,,,,,,,
922,0,2,"Louch, Mr. Charles Alexander",male,50,1,0,SC/AH 3085,26,,S,,,,,,,,,,,,,,,,,,,,,,
923,0,2,"Jefferys, Mr. Clifford Thomas",male,24,2,0,C.A. 31029,31.5,,S,,,,,,,,,,,,,,,,,,,,,,
924,1,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",female,33,1,2,C.A. 2315,20.575,,S,,,,,,,,,,,,,,,,,,,,,,
925,1,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,,1,2,W./C. 6607,23.45,,S,,,,,,,,,,,,,,,,,,,,,,
926,0,1,"Mock, Mr. Philipp Edmund",male,30,1,0,13236,57.75,C78,C,,,,,,,,,,,,,,,,,,,,,,
927,0,3,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",male,18.5,0,0,2682,7.2292,,C,,,,,,,,,,,,,,,,,,,,,,
928,1,3,"Roth, Miss. Sarah A",female,,0,0,342712,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
929,1,3,"Cacic, Miss. Manda",female,21,0,0,315087,8.6625,,S,,,,,,,,,,,,,,,,,,,,,,
930,0,3,"Sap, Mr. Julius",male,25,0,0,345768,9.5,,S,,,,,,,,,,,,,,,,,,,,,,
931,0,3,"Hee, Mr. Ling",male,,0,0,1601,56.4958,,S,,,,,,,,,,,,,,,,,,,,,,
932,0,3,"Karun, Mr. Franz",male,39,0,1,349256,13.4167,,C,,,,,,,,,,,,,,,,,,,,,,
933,0,1,"Franklin, Mr. Thomas Parham",male,,0,0,113778,26.55,D34,S,,,,,,,,,,,,,,,,,,,,,,
934,0,3,"Goldsmith, Mr. Nathan",male,41,0,0,SOTON/O.Q. 3101263,7.85,,S,,,,,,,,,,,,,,,,,,,,,,
935,1,2,"Corbett, Mrs. Walter H (Irene Colvin)",female,30,0,0,237249,13,,S,,,,,,,,,,,,,,,,,,,,,,
936,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45,1,0,11753,52.5542,D19,S,,,,,,,,,,,,,,,,,,,,,,
937,0,3,"Peltomaki, Mr. Nikolai Johannes",male,25,0,0,STON/O 2. 3101291,7.925,,S,,,,,,,,,,,,,,,,,,,,,,
938,0,1,"Chevre, Mr. Paul Romaine",male,45,0,0,PC 17594,29.7,A9,C,,,,,,,,,,,,,,,,,,,,,,
939,0,3,"Shaughnessy, Mr. Patrick",male,,0,0,370374,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
940,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60,0,0,11813,76.2917,D15,C,,,,,,,,,,,,,,,,,,,,,,
941,1,3,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",female,36,0,2,C.A. 37671,15.9,,S,,,,,,,,,,,,,,,,,,,,,,
942,0,1,"Smith, Mr. Lucien Philip",male,24,1,0,13695,60,C31,S,,,,,,,,,,,,,,,,,,,,,,
943,0,2,"Pulbaum, Mr. Franz",male,27,0,0,SC/PARIS 2168,15.0333,,C,,,,,,,,,,,,,,,,,,,,,,
944,1,2,"Hocking, Miss. Ellen Nellie""""",female,20,2,1,29105,23,,S,,,,,,,,,,,,,,,,,,,,,,
945,1,1,"Fortune, Miss. Ethel Flora",female,28,3,2,19950,263,C23 C25 C27,S,,,,,,,,,,,,,,,,,,,,,,
946,0,2,"Mangiavacchi, Mr. Serafino Emilio",male,,0,0,SC/A.3 2861,15.5792,,C,,,,,,,,,,,,,,,,,,,,,,
947,0,3,"Rice, Master. Albert",male,10,4,1,382652,29.125,,Q,,,,,,,,,,,,,,,,,,,,,,
948,0,3,"Cor, Mr. Bartol",male,35,0,0,349230,7.8958,,S,,,,,,,,,,,,,,,,,,,,,,
949,0,3,"Abelseth, Mr. Olaus Jorgensen",male,25,0,0,348122,7.65,F G63,S,,,,,,,,,,,,,,,,,,,,,,
950,0,3,"Davison, Mr. Thomas Henry",male,,1,0,386525,16.1,,S,,,,,,,,,,,,,,,,,,,,,,
951,1,1,"Chaudanson, Miss. Victorine",female,36,0,0,PC 17608,262.375,B61,C,,,,,,,,,,,,,,,,,,,,,,
952,0,3,"Dika, Mr. Mirko",male,17,0,0,349232,7.8958,,S,,,,,,,,,,,,,,,,,,,,,,
953,0,2,"McCrae, Mr. Arthur Gordon",male,32,0,0,237216,13.5,,S,,,,,,,,,,,,,,,,,,,,,,
954,0,3,"Bjorklund, Mr. Ernst Herbert",male,18,0,0,347090,7.75,,S,,,,,,,,,,,,,,,,,,,,,,
955,1,3,"Bradley, Miss. Bridget Delia",female,22,0,0,334914,7.725,,Q,,,,,,,,,,,,,,,,,,,,,,
956,0,1,"Ryerson, Master. John Borie",male,13,2,2,PC 17608,262.375,B57 B59 B63 B66,C,,,,,,,,,,,,,,,,,,,,,,
957,1,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,,0,0,F.C.C. 13534,21,,S,,,,,,,,,,,,,,,,,,,,,,
958,1,3,"Burns, Miss. Mary Delia",female,18,0,0,330963,7.8792,,Q,,,,,,,,,,,,,,,,,,,,,,
959,0,1,"Moore, Mr. Clarence Bloomfield",male,47,0,0,113796,42.4,,S,,,,,,,,,,,,,,,,,,,,,,
960,0,1,"Tucker, Mr. Gilbert Milligan Jr",male,31,0,0,2543,28.5375,C53,C,,,,,,,,,,,,,,,,,,,,,,
961,1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60,1,4,19950,263,C23 C25 C27,S,,,,,,,,,,,,,,,,,,,,,,
962,1,3,"Mulvihill, Miss. Bertha E",female,24,0,0,382653,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
963,0,3,"Minkoff, Mr. Lazar",male,21,0,0,349211,7.8958,,S,,,,,,,,,,,,,,,,,,,,,,
964,1,3,"Nieminen, Miss. Manta Josefina",female,29,0,0,3101297,7.925,,S,,,,,,,,,,,,,,,,,,,,,,
965,0,1,"Ovies y Rodriguez, Mr. Servando",male,28.5,0,0,PC 17562,27.7208,D43,C,,,,,,,,,,,,,,,,,,,,,,
966,1,1,"Geiger, Miss. Amalie",female,35,0,0,113503,211.5,C130,C,,,,,,,,,,,,,,,,,,,,,,
967,0,1,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C132,C,,,,,,,,,,,,,,,,,,,,,,
968,0,3,"Miles, Mr. Frank",male,,0,0,359306,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
969,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55,2,0,11770,25.7,C101,S,,,,,,,,,,,,,,,,,,,,,,
970,0,2,"Aldworth, Mr. Charles Augustus",male,30,0,0,248744,13,,S,,,,,,,,,,,,,,,,,,,,,,
971,1,3,"Doyle, Miss. Elizabeth",female,24,0,0,368702,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
972,0,3,"Boulos, Master. Akar",male,6,1,1,2678,15.2458,,C,,,,,,,,,,,,,,,,,,,,,,
973,0,1,"Straus, Mr. Isidor",male,67,1,0,PC 17483,221.7792,C55 C57,S,,,,,,,,,,,,,,,,,,,,,,
974,0,1,"Case, Mr. Howard Brown",male,49,0,0,19924,26,,S,,,,,,,,,,,,,,,,,,,,,,
975,0,3,"Demetri, Mr. Marinko",male,,0,0,349238,7.8958,,S,,,,,,,,,,,,,,,,,,,,,,
976,0,2,"Lamb, Mr. John Joseph",male,,0,0,240261,10.7083,,Q,,,,,,,,,,,,,,,,,,,,,,
977,0,3,"Khalil, Mr. Betros",male,,1,0,2660,14.4542,,C,,,,,,,,,,,,,,,,,,,,,,
978,1,3,"Barry, Miss. Julia",female,27,0,0,330844,7.8792,,Q,,,,,,,,,,,,,,,,,,,,,,
979,1,3,"Badman, Miss. Emily Louisa",female,18,0,0,A/4 31416,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
980,1,3,"O'Donoghue, Ms. Bridget",female,,0,0,364856,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
981,0,2,"Wells, Master. Ralph Lester",male,2,1,1,29103,23,,S,,,,,,,,,,,,,,,,,,,,,,
982,1,3,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",female,22,1,0,347072,13.9,,S,,,,,,,,,,,,,,,,,,,,,,
983,0,3,"Pedersen, Mr. Olaf",male,,0,0,345498,7.775,,S,,,,,,,,,,,,,,,,,,,,,,
984,1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,27,1,2,F.C. 12750,52,B71,S,,,,,,,,,,,,,,,,,,,,,,
985,0,3,"Guest, Mr. Robert",male,,0,0,376563,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
986,0,1,"Birnbaum, Mr. Jakob",male,25,0,0,13905,26,,C,,,,,,,,,,,,,,,,,,,,,,
987,0,3,"Tenglin, Mr. Gunnar Isidor",male,25,0,0,350033,7.7958,,S,,,,,,,,,,,,,,,,,,,,,,
988,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76,1,0,19877,78.85,C46,S,,,,,,,,,,,,,,,,,,,,,,
989,0,3,"Makinen, Mr. Kalle Edvard",male,29,0,0,STON/O 2. 3101268,7.925,,S,,,,,,,,,,,,,,,,,,,,,,
990,1,3,"Braf, Miss. Elin Ester Maria",female,20,0,0,347471,7.8542,,S,,,,,,,,,,,,,,,,,,,,,,
991,0,3,"Nancarrow, Mr. William Henry",male,33,0,0,A./5. 3338,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
992,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43,1,0,11778,55.4417,C116,C,,,,,,,,,,,,,,,,,,,,,,
993,0,2,"Weisz, Mr. Leopold",male,27,1,0,228414,26,,S,,,,,,,,,,,,,,,,,,,,,,
994,0,3,"Foley, Mr. William",male,,0,0,365235,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
995,0,3,"Johansson Palmquist, Mr. Oskar Leander",male,26,0,0,347070,7.775,,S,,,,,,,,,,,,,,,,,,,,,,
996,1,3,"Thomas, Mrs. Alexander (Thamine Thelma"")""",female,16,1,1,2625,8.5167,,C,,,,,,,,,,,,,,,,,,,,,,
997,0,3,"Holthen, Mr. Johan Martin",male,28,0,0,C 4001,22.525,,S,,,,,,,,,,,,,,,,,,,,,,
998,0,3,"Buckley, Mr. Daniel",male,21,0,0,330920,7.8208,,Q,,,,,,,,,,,,,,,,,,,,,,
999,0,3,"Ryan, Mr. Edward",male,,0,0,383162,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
1000,0,3,"Willer, Mr. Aaron (Abi Weller"")""",male,,0,0,3410,8.7125,,S,,,,,,,,,,,,,,,,,,,,,,
1001,0,2,"Swane, Mr. George",male,18.5,0,0,248734,13,F,S,,,,,,,,,,,,,,,,,,,,,,
1002,0,2,"Stanton, Mr. Samuel Ward",male,41,0,0,237734,15.0458,,C,,,,,,,,,,,,,,,,,,,,,,
1003,1,3,"Shine, Miss. Ellen Natalia",female,,0,0,330968,7.7792,,Q,,,,,,,,,,,,,,,,,,,,,,
1004,1,1,"Evans, Miss. Edith Corse",female,36,0,0,PC 17531,31.6792,A29,C,,,,,,,,,,,,,,,,,,,,,,
1005,1,3,"Buckley, Miss. Katherine",female,18.5,0,0,329944,7.2833,,Q,,,,,,,,,,,,,,,,,,,,,,
1006,1,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63,1,0,PC 17483,221.7792,C55 C57,S,,,,,,,,,,,,,,,,,,,,,,
1007,0,3,"Chronopoulos, Mr. Demetrios",male,18,1,0,2680,14.4542,,C,,,,,,,,,,,,,,,,,,,,,,
1008,0,3,"Thomas, Mr. John",male,,0,0,2681,6.4375,,C,,,,,,,,,,,,,,,,,,,,,,
1009,1,3,"Sandstrom, Miss. Beatrice Irene",female,1,1,1,PP 9549,16.7,G6,S,,,,,,,,,,,,,,,,,,,,,,
1010,0,1,"Beattie, Mr. Thomson",male,36,0,0,13050,75.2417,C6,C,,,,,,,,,,,,,,,,,,,,,,
1011,1,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29,1,0,SC/AH 29037,26,,S,,,,,,,,,,,,,,,,,,,,,,
1012,1,2,"Watt, Miss. Bertha J",female,12,0,0,C.A. 33595,15.75,,S,,,,,,,,,,,,,,,,,,,,,,
1013,0,3,"Kiernan, Mr. John",male,,1,0,367227,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
1014,1,1,"Schabert, Mrs. Paul (Emma Mock)",female,35,1,0,13236,57.75,C28,C,,,,,,,,,,,,,,,,,,,,,,
1015,0,3,"Carver, Mr. Alfred John",male,28,0,0,392095,7.25,,S,,,,,,,,,,,,,,,,,,,,,,
1016,0,3,"Kennedy, Mr. John",male,,0,0,368783,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
1017,1,3,"Cribb, Miss. Laura Alice",female,17,0,1,371362,16.1,,S,,,,,,,,,,,,,,,,,,,,,,
1018,0,3,"Brobeck, Mr. Karl Rudolf",male,22,0,0,350045,7.7958,,S,,,,,,,,,,,,,,,,,,,,,,
1019,1,3,"McCoy, Miss. Alicia",female,,2,0,367226,23.25,,Q,,,,,,,,,,,,,,,,,,,,,,
1020,0,2,"Bowenur, Mr. Solomon",male,42,0,0,211535,13,,S,,,,,,,,,,,,,,,,,,,,,,
1021,0,3,"Petersen, Mr. Marius",male,24,0,0,342441,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
1022,0,3,"Spinner, Mr. Henry John",male,32,0,0,STON/OQ. 369943,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
1023,0,1,"Gracie, Col. Archibald IV",male,53,0,0,113780,28.5,C51,C,,,,,,,,,,,,,,,,,,,,,,
1024,1,3,"Lefebre, Mrs. Frank (Frances)",female,,0,4,4133,25.4667,,S,,,,,,,,,,,,,,,,,,,,,,
1025,0,3,"Thomas, Mr. Charles P",male,,1,0,2621,6.4375,,C,,,,,,,,,,,,,,,,,,,,,,
1026,0,3,"Dintcheff, Mr. Valtcho",male,43,0,0,349226,7.8958,,S,,,,,,,,,,,,,,,,,,,,,,
1027,0,3,"Carlsson, Mr. Carl Robert",male,24,0,0,350409,7.8542,,S,,,,,,,,,,,,,,,,,,,,,,
1028,0,3,"Zakarian, Mr. Mapriededer",male,26.5,0,0,2656,7.225,,C,,,,,,,,,,,,,,,,,,,,,,
1029,0,2,"Schmidt, Mr. August",male,26,0,0,248659,13,,S,,,,,,,,,,,,,,,,,,,,,,
1030,1,3,"Drapkin, Miss. Jennie",female,23,0,0,SOTON/OQ 392083,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
1031,0,3,"Goodwin, Mr. Charles Frederick",male,40,1,6,CA 2144,46.9,,S,,,,,,,,,,,,,,,,,,,,,,
1032,1,3,"Goodwin, Miss. Jessie Allis",female,10,5,2,CA 2144,46.9,,S,,,,,,,,,,,,,,,,,,,,,,
1033,1,1,"Daniels, Miss. Sarah",female,33,0,0,113781,151.55,,S,,,,,,,,,,,,,,,,,,,,,,
1034,0,1,"Ryerson, Mr. Arthur Larned",male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C,,,,,,,,,,,,,,,,,,,,,,
1035,0,2,"Beauchamp, Mr. Henry James",male,28,0,0,244358,26,,S,,,,,,,,,,,,,,,,,,,,,,
1036,0,1,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",male,42,0,0,17475,26.55,,S,,,,,,,,,,,,,,,,,,,,,,
1037,0,3,"Vander Planke, Mr. Julius",male,31,3,0,345763,18,,S,,,,,,,,,,,,,,,,,,,,,,
1038,0,1,"Hilliard, Mr. Herbert Henry",male,,0,0,17463,51.8625,E46,S,,,,,,,,,,,,,,,,,,,,,,
1039,0,3,"Davies, Mr. Evan",male,22,0,0,SC/A4 23568,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
1040,0,1,"Crafton, Mr. John Bertram",male,,0,0,113791,26.55,,S,,,,,,,,,,,,,,,,,,,,,,
1041,0,2,"Lahtinen, Rev. William",male,30,1,1,250651,26,,S,,,,,,,,,,,,,,,,,,,,,,
1042,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23,0,1,11767,83.1583,C54,C,,,,,,,,,,,,,,,,,,,,,,
1043,0,3,"Matinoff, Mr. Nicola",male,,0,0,349255,7.8958,,C,,,,,,,,,,,,,,,,,,,,,,
1044,0,3,"Storey, Mr. Thomas",male,60.5,0,0,3701,,,S,,,,,,,,,,,,,,,,,,,,,,
1045,1,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36,0,2,350405,12.1833,,S,,,,,,,,,,,,,,,,,,,,,,
1046,0,3,"Asplund, Master. Filip Oscar",male,13,4,2,347077,31.3875,,S,,,,,,,,,,,,,,,,,,,,,,
1047,0,3,"Duquemin, Mr. Joseph",male,24,0,0,S.O./P.P. 752,7.55,,S,,,,,,,,,,,,,,,,,,,,,,
1048,1,1,"Bird, Miss. Ellen",female,29,0,0,PC 17483,221.7792,C97,S,,,,,,,,,,,,,,,,,,,,,,
1049,1,3,"Lundin, Miss. Olga Elida",female,23,0,0,347469,7.8542,,S,,,,,,,,,,,,,,,,,,,,,,
1050,0,1,"Borebank, Mr. John James",male,42,0,0,110489,26.55,D22,S,,,,,,,,,,,,,,,,,,,,,,
1051,1,3,"Peacock, Mrs. Benjamin (Edith Nile)",female,26,0,2,SOTON/O.Q. 3101315,13.775,,S,,,,,,,,,,,,,,,,,,,,,,
1052,1,3,"Smyth, Miss. Julia",female,,0,0,335432,7.7333,,Q,,,,,,,,,,,,,,,,,,,,,,
1053,0,3,"Touma, Master. Georges Youssef",male,7,1,1,2650,15.2458,,C,,,,,,,,,,,,,,,,,,,,,,
1054,1,2,"Wright, Miss. Marion",female,26,0,0,220844,13.5,,S,,,,,,,,,,,,,,,,,,,,,,
1055,0,3,"Pearce, Mr. Ernest",male,,0,0,343271,7,,S,,,,,,,,,,,,,,,,,,,,,,
1056,0,2,"Peruschitz, Rev. Joseph Maria",male,41,0,0,237393,13,,S,,,,,,,,,,,,,,,,,,,,,,
1057,1,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26,1,1,315153,22.025,,S,,,,,,,,,,,,,,,,,,,,,,
1058,0,1,"Brandeis, Mr. Emil",male,48,0,0,PC 17591,50.4958,B10,C,,,,,,,,,,,,,,,,,,,,,,
1059,0,3,"Ford, Mr. Edward Watson",male,18,2,2,W./C. 6608,34.375,,S,,,,,,,,,,,,,,,,,,,,,,
1060,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,27.7208,,C,,,,,,,,,,,,,,,,,,,,,,
1061,1,3,"Hellstrom, Miss. Hilda Maria",female,22,0,0,7548,8.9625,,S,,,,,,,,,,,,,,,,,,,,,,
1062,0,3,"Lithman, Mr. Simon",male,,0,0,S.O./P.P. 251,7.55,,S,,,,,,,,,,,,,,,,,,,,,,
1063,0,3,"Zakarian, Mr. Ortin",male,27,0,0,2670,7.225,,C,,,,,,,,,,,,,,,,,,,,,,
1064,0,3,"Dyker, Mr. Adolf Fredrik",male,23,1,0,347072,13.9,,S,,,,,,,,,,,,,,,,,,,,,,
1065,0,3,"Torfa, Mr. Assad",male,,0,0,2673,7.2292,,C,,,,,,,,,,,,,,,,,,,,,,
1066,0,3,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,1,5,347077,31.3875,,S,,,,,,,,,,,,,,,,,,,,,,
1067,1,2,"Brown, Miss. Edith Eileen",female,15,0,2,29750,39,,S,,,,,,,,,,,,,,,,,,,,,,
1068,1,2,"Sincock, Miss. Maude",female,20,0,0,C.A. 33112,36.75,,S,,,,,,,,,,,,,,,,,,,,,,
1069,0,1,"Stengel, Mr. Charles Emil Henry",male,54,1,0,11778,55.4417,C116,C,,,,,,,,,,,,,,,,,,,,,,
1070,1,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36,0,3,230136,39,F4,S,,,,,,,,,,,,,,,,,,,,,,
1071,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64,0,2,PC 17756,83.1583,E45,C,,,,,,,,,,,,,,,,,,,,,,
1072,0,2,"McCrie, Mr. James Matthew",male,30,0,0,233478,13,,S,,,,,,,,,,,,,,,,,,,,,,
1073,0,1,"Compton, Mr. Alexander Taylor Jr",male,37,1,1,PC 17756,83.1583,E52,C,,,,,,,,,,,,,,,,,,,,,,
1074,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18,1,0,113773,53.1,D30,S,,,,,,,,,,,,,,,,,,,,,,
1075,0,3,"Lane, Mr. Patrick",male,,0,0,7935,7.75,,Q,,,,,,,,,,,,,,,,,,,,,,
1076,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27,1,1,PC 17558,247.5208,B58 B60,C,,,,,,,,,,,,,,,,,,,,,,
1077,0,2,"Maybery, Mr. Frank Hubert",male,40,0,0,239059,16,,S,,,,,,,,,,,,,,,,,,,,,,
1078,1,2,"Phillips, Miss. Alice Frances Louisa",female,21,0,1,S.O./P.P. 2,21,,S,,,,,,,,,,,,,,,,,,,,,,
1079,0,3,"Davies, Mr. Joseph",male,17,2,0,A/4 48873,8.05,,S,,,,,,,,,,,,,,,,,,,,,,
1080,1,3,"Sage, Miss. Ada",female,,8,2,CA. 2343,69.55,,S,,,,,,,,,,,,,,,,,,,,,,
1081,0,2,"Veal, Mr. James",male,40,0,0,28221,13,,S,,,,,,,,,,,,,,,,,,,,,,
1082,0,2,"Angle, Mr. William A",male,34,1,0,226875,26,,S,,,,,,,,,,,,,,,,,,,,,,
1083,0,1,"Salomon, Mr. Abraham L",male,,0,0,111163,26,,S,,,,,,,,,,,,,,,,,,,,,,
1084,0,3,"van Billiard, Master. Walter John",male,11.5,1,1,A/5. 851,14.5,,S,,,,,,,,,,,,,,,,,,,,,,
1085,0,2,"Lingane, Mr. John",male,61,0,0,235509,12.35,,Q,,,,,,,,,,,,,,,,,,,,,,
1086,0,2,"Drew, Master. Marshall Brines",male,8,0,2,28220,32.5,,S,,,,,,,,,,,,,,,,,,,,,,
1087,0,3,"Karlsson, Mr. Julius Konrad Eugen",male,33,0,0,347465,7.8542,,S,,,,,,,,,,,,,,,,,,,,,,
1088,0,1,"Spedden, Master. Robert Douglas",male,6,0,2,16966,134.5,E34,C,,,,,,,,,,,,,,,,,,,,,,
1089,1,3,"Nilsson, Miss. Berta Olivia",female,18,0,0,347066,7.775,,S,,,,,,,,,,,,,,,,,,,,,,
1090,0,2,"Baimbrigge, Mr. Charles Robert",male,23,0,0,C.A. 31030,10.5,,S,,,,,,,,,,,,,,,,,,,,,,
1091,1,3,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",female,,0,0,65305,8.1125,,S,,,,,,,,,,,,,,,,,,,,,,
1092,1,3,"Murphy, Miss. Nora",female,,0,0,36568,15.5,,Q,,,,,,,,,,,,,,,,,,,,,,
